,DT_COMPTC,CAPTC_DIA,RESG_DIA,IBOV,Dol,NDX,SPX,Fluxo
3695,2019-09-20,534806617.49999994,250047368.71000007,104817.4,4.1476,7823.55,2992.07,284759248.78999984
3696,2019-09-23,905442345.2400001,236208936.65999994,104637.8,4.1655,7818.61,2991.78,669233408.5800002
3697,2019-09-24,1231718265.6700003,724060846.4000001,103875.7,4.165,7710.04,2966.6,507657419.2700002
3698,2019-09-25,2122093278.9299994,272563244.6500001,104481.0,4.148,7803.54,2984.87,1849530034.2799993
3699,2019-09-26,643416574.5600003,316716451.5299998,105319.4,4.1693,7771.99,2977.62,326700123.0300005
3700,2019-09-27,607348169.2,182622887.46999988,105077.6,4.1587,7681.58,2961.79,424725281.73000014
3701,2019-09-30,1029787357.2099998,419340349.58999985,104745.3,4.157,7749.45,2976.74,610447007.6199999
3702,2019-10-01,653658810.4800001,187784100.68999988,104053.4,4.1591,7684.14,2940.25,465874709.79000026
3703,2019-10-02,778985592.4,266019408.27999997,101031.4,4.1306,7550.79,2887.61,512966184.12
3704,2019-10-03,1141289261.88,301274988.54999995,101516.0,4.0818,7638.4,2910.63,840014273.3300002
3705,2019-10-04,648097009.7900002,220619007.28,102551.3,4.0568,7754.1,2952.01,427478002.5100002
3706,2019-10-07,639876534.7200003,388566840.11000025,100572.8,4.1074,7725.13,2938.79,251309694.61
3707,2019-10-08,706872452.4799998,187701656.82,99981.4,4.0952,7604.27,2893.06,519170795.6599998
3708,2019-10-09,488432823.11,475805350.7300001,101248.8,4.1096,7690.53,2919.4,12627472.379999936
3709,2019-10-10,554588742.78,208660622.2300001,101817.1,4.108,7740.36,2938.13,345928120.54999983
3710,2019-10-11,602758648.4499999,189372239.55,103831.9,4.1097,7843.88,2970.27,413386408.8999999
3711,2019-10-14,667586193.21,264340532.85,104301.6,4.1271,7842.33,2966.15,403245660.36
3712,2019-10-15,657178934.6399997,277657110.87,104489.6,4.1799,7942.85,2995.68,379521823.76999974
3713,2019-10-16,794704191.5800002,227250164.85000008,105422.8,4.1537,7920.21,2989.69,567454026.73
3714,2019-10-17,609264634.12,261804648.89999995,105015.8,4.1655,7942.14,2997.95,347459985.22
3715,2019-10-18,689117566.3100001,271930252.6199998,104728.9,4.1133,7868.49,2986.2,417187313.69000024
3716,2019-10-21,681167837.2600001,298918567.5499999,106022.3,4.1293,7940.33,3006.72,382249269.7100002
3717,2019-10-22,646225327.8800005,232989321.35000005,107381.1,4.0839,7874.62,2995.99,413236006.53000045
3718,2019-10-23,563539394.2100004,287862948.4200001,107543.6,4.0364,7889.47,3004.52,275676445.7900003
3719,2019-10-24,741868988.6800001,452037869.2300001,106986.1,4.042,7966.72,3010.29,289831119.45
3720,2019-10-25,840516882.2800001,493066331.6699998,107363.8,4.0054,8029.22,3022.55,347450550.6100003
3721,2019-10-28,1081575674.3900003,652662822.4499997,108187.1,3.9923,8110.67,3039.42,428912851.94000065
3722,2019-10-29,736492674.8099997,317345712.5899998,107556.3,3.9994,8047.51,3036.89,419146962.2199999
3723,2019-10-30,788562826.4200001,352061468.94000006,108407.5,3.9914,8083.11,3046.77,436501357.48
3724,2019-10-31,1158877228.35,357658709.40999967,107219.8,4.0195,8083.83,3037.56,801218518.9400003
