"Index","N100.Close","N100.Volume","FTSE.Close","FTSE.Volume","N225.Close","N225.Volume","HSI.Close","HSI.Volume","EUR.Close","JPY.Close","AUD.Close","GBP.Close","CNY.Close"
2005-05-17,681.77002,0,4898.5,1431908100,10825.389648,86300000,13667.030273,401396200,0.79346,107.43,NA,0.54526,8.266501
2005-05-18,691.880005,0,4949.399902,1767108900,10835.410156,77300000,13627.009766,271572400,0.78858,107.010002,NA,0.5436,8.266501
2005-05-19,695.200012,0,4962.700195,2102727400,11077.160156,87400000,13698.929688,253528600,0.79145,107.599998,NA,0.54481,8.266501
2005-05-20,696.609985,0,4971.799805,1605254700,11037.290039,70800000,13717.419922,201016800,0.79637,108.150002,NA,0.54678,8.266501
2005-05-23,700.119995,0,4989.799805,1148623400,11158.650391,66500000,13699.129883,163988800,0.79548,107.760002,NA,0.54666,8.266501
2005-05-24,697.5,0,4982.5,1767092600,11133.650391,7.5e+07,13719.320313,158187200,0.79567,107.589996,NA,0.54738,8.266501
2005-05-25,697.73999,0,4971.5,1643674600,11014.429688,83400000,13562.05957,294308800,0.79371,107.68,NA,0.54597,8.266501
2005-05-26,702.77002,0,4994.899902,1957526900,11027.94043,79400000,13569.990234,182625600,0.79911,108.029999,NA,0.54933,8.266501
2005-05-27,701.609985,0,4986.299805,1327595300,11192.330078,69500000,13714.780273,218391000,0.79479,107.980003,NA,0.54801,8.266501
2005-05-30,703.109985,0,NA,NA,11266.330078,78500000,13845.099609,255851000,0.80109,107.959999,NA,0.54837,8.266501
2005-05-31,700.130005,0,4964,1439093600,11276.589844,80600000,13867.070313,348640200,0.81248,108.400002,NA,0.55015,8.266501
2005-06-01,710.51001,0,5011,1520426500,11329.669922,76300000,13873.070313,302359400,0.81994,108.660004,NA,0.55252,8.266501
2005-06-02,711.140015,0,5005,1509258800,11280.049805,82100000,13814.580078,325242400,0.8152,108.209999,NA,0.55075,8.266501
2005-06-03,708.640015,0,4999.399902,1316673500,11300.049805,67300000,13818.450195,297765200,0.81766,107.639999,NA,0.5509,8.266501
2005-06-06,705.099976,0,4980.399902,1029262100,11270.620117,60700000,13860.549805,265783800,0.81566,106.870003,NA,0.54822,8.266501
2005-06-07,710.809998,0,5025.299805,1523410200,11217.450195,59200000,13837.290039,258052800,0.8144,106.629997,NA,0.54546,8.266501
2005-06-08,709.539978,0,5003.700195,1459550900,11281.030273,73200000,13898.549805,421819800,0.81713,107.220001,NA,0.54813,8.266501
2005-06-09,708.349976,0,5009.200195,1418404600,11160.879883,6.7e+07,13898.30957,419254400,0.8178,107.480003,NA,0.54921,8.266501
2005-06-10,713.460022,0,5030.399902,1475646200,11304.230469,145300000,13934.759766,326592000,0.82393,108.650002,NA,0.55163,8.266501
2005-06-13,716.159973,0,5050.399902,1245385600,11311.509766,65300000,13952.019531,209902000,0.82522,109.449997,NA,0.55307,8.266501
2005-06-14,716.080017,0,5046.799805,1378129300,11335.919922,64100000,13904.80957,299700600,0.83153,109.400002,NA,0.55368,8.266501
2005-06-15,713.539978,0,5019.5,1605425800,11415.879883,82800000,13914.299805,284969400,0.82495,109.169998,NA,0.54849,8.266501
2005-06-16,715.789978,0,5045,1523278500,11416.379883,91900000,13833.530273,258611600,0.82651,108.959999,NA,0.54867,8.266501
2005-06-17,720.130005,0,5077.600098,2082942500,11514.030273,9.1e+07,13912.030273,412312000,0.8144,108.529999,NA,0.546,8.266501
2005-06-20,716.700012,0,5072,1148475000,11483.349609,80200000,13945.769531,246064200,0.82291,109.349998,NA,0.54867,8.266501
2005-06-21,721.159973,0,5082.100098,1270885300,11488.740234,57900000,13979.349609,276460400,0.82142,108.410004,NA,0.54705,8.266501
2005-06-22,723.150024,0,5099.299805,1466616800,11547.280273,70700000,14161.019531,666237800,0.82501,108.760002,NA,0.54918,8.266501
2005-06-23,724.780029,0,5114.399902,1797104400,11576.75,61500000,14190.44043,543943400,0.83132,108.919998,NA,0.55078,8.266501
2005-06-24,718.47998,0,5079,1373264100,11537.030273,64600000,14230.290039,536796400,0.82658,108.970001,NA,0.54822,8.266501
2005-06-27,712.159973,0,5043.5,1506224900,11414.280273,57900000,14176.040039,319765800,0.8221,109.279999,NA,0.54687,8.266501
