"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 31, 2012","1,723.61","1,735.48","1,741.97","1,710.77","","-0.65%"
"Oct 30, 2012","1,734.92","1,722.66","1,735.43","1,714.60","","0.73%"
"Oct 29, 2012","1,722.30","1,708.04","1,722.30","1,687.15","","0.83%"
"Oct 26, 2012","1,708.16","1,740.26","1,740.26","1,700.97","","-1.88%"
"Oct 25, 2012","1,740.91","1,720.07","1,758.31","1,720.07","","1.21%"
"Oct 24, 2012","1,720.07","1,733.94","1,750.88","1,719.49","","-0.80%"
"Oct 23, 2012","1,733.94","1,753.23","1,753.23","1,726.04","","-1.10%"
"Oct 22, 2012","1,753.23","1,750.79","1,777.45","1,743.73","","0.20%"
"Oct 19, 2012","1,749.71","1,794.06","1,801.17","1,745.98","","-2.53%"
"Oct 18, 2012","1,795.20","1,807.93","1,807.93","1,781.42","","-0.74%"
"Oct 17, 2012","1,808.60","1,798.26","1,824.13","1,794.85","","0.55%"
"Oct 16, 2012","1,798.63","1,771.58","1,810.17","1,771.58","","1.53%"
"Oct 15, 2012","1,771.58","1,755.07","1,773.14","1,729.60","","0.94%"
"Oct 11, 2012","1,755.03","1,733.65","1,758.85","1,733.65","","1.25%"
"Oct 10, 2012","1,733.31","1,757.34","1,768.02","1,733.01","","-1.35%"
"Oct 09, 2012","1,757.10","1,761.61","1,778.68","1,744.97","","-0.23%"
"Oct 08, 2012","1,761.22","1,725.45","1,761.22","1,717.08","","2.07%"
"Oct 05, 2012","1,725.45","1,730.53","1,758.87","1,722.14","","-0.24%"
"Oct 04, 2012","1,729.65","1,728.85","1,753.12","1,711.85","","0.06%"
"Oct 03, 2012","1,728.59","1,746.70","1,757.65","1,724.09","","-1.05%"
"Oct 02, 2012","1,746.86","1,758.72","1,782.33","1,735.32","","-0.66%"
"Oct 01, 2012","1,758.45","1,747.04","1,794.59","1,746.88","","0.65%"
"Sep 28, 2012","1,747.08","1,769.21","1,770.73","1,737.82","","-1.25%"
"Sep 27, 2012","1,769.21","1,785.91","1,805.68","1,754.75","","-0.92%"
"Sep 26, 2012","1,785.59","1,779.80","1,791.39","1,746.12","","0.33%"
"Sep 25, 2012","1,779.80","1,852.31","1,855.18","1,773.95","","-3.88%"
"Sep 24, 2012","1,851.64","1,840.81","1,859.47","1,828.49","","0.58%"
