Date,Price,Open,High,Low,Vol.,Change %
26/01/09,"15,323.07","15,283.60","15,365.91","15,136.34",,0.43%
23/01/09,"15,257.08","14,969.37","15,301.77","14,743.49",,1.42%
22/01/09,"15,043.95","15,180.39","15,263.18","14,939.94",,-1.31%
21/01/09,"15,242.88","15,001.72","15,242.88","14,984.85",,1.82%
20/01/09,"14,970.04","15,329.17","15,329.17","14,951.25",,-2.67%
19/01/09,"15,380.56","15,559.04","15,559.04","15,296.56",,-0.66%
16/01/09,"15,482.53","15,508.19","15,508.19","15,312.76",,-0.14%
15/01/09,"15,503.51","15,272.70","15,503.51","15,034.27",,1.49%
14/01/09,"15,276.12","15,428.36","15,444.31","15,173.63",,-1.41%
13/01/09,"15,494.74","15,244.97","15,540.08","15,183.38",,1.50%
12/01/09,"15,265.69","15,348.73","15,433.26","15,187.04",,-1.01%
09/01/09,"15,422.06","15,352.31","15,422.47","15,146.75",,0.51%
08/01/09,"15,343.37","15,268.97","15,415.84","15,219.49",,0.72%
07/01/09,"15,233.23","15,393.86","15,434.92","15,092.99",,-1.38%
06/01/09,"15,445.83","15,740.57","15,761.44","15,280.59",,-1.38%
05/01/09,"15,662.34","15,819.18","15,819.18","15,569.00",,-0.95%
02/01/09,"15,812.72","15,327.50","15,812.72","15,267.54",,3.41%
30/12/08,"15,291.33","15,296.89","15,431.49","15,268.91",,0.68%
29/12/08,"15,188.37","15,334.80","15,347.40","15,040.71",,0.10%
26/12/08,"15,173.54","15,109.88","15,231.45","15,107.35",,0.78%
23/12/08,"15,056.53","15,313.86","15,431.80","15,013.42",,-1.65%
22/12/08,"15,309.00","15,589.95","15,665.46","15,245.22",,-1.79%
19/12/08,"15,587.47","15,495.32","15,665.63","15,440.53",,0.09%
18/12/08,"15,574.06","15,305.53","15,677.34","15,264.15",,2.23%
17/12/08,"15,233.67","15,573.15","15,573.15","15,118.33",,-2.37%
16/12/08,"15,603.48","15,232.08","15,609.52","15,219.15",,2.93%
15/12/08,"15,158.71","15,452.61","15,510.35","15,126.76",,-2.88%
12/12/08,"15,608.88","15,329.26","15,608.88","15,114.00",,2.05%
11/12/08,"15,295.39","15,695.58","15,699.70","15,290.60",,-2.07%
10/12/08,"15,618.06","15,988.59","16,121.26","15,553.48",,-1.61%
09/12/08,"15,873.87","16,155.58","16,261.34","15,721.07",,-1.20%
08/12/08,"16,065.94","16,231.81","16,439.75","16,065.94",,1.16%
05/12/08,"15,880.94","15,690.88","16,013.08","15,610.24",,0.35%
04/12/08,"15,825.40","15,894.13","15,951.73","15,753.42",,0.46%
03/12/08,"15,753.21","15,554.94","15,803.54","15,275.94",,0.90%
02/12/08,"15,612.87","15,416.82","15,691.55","15,409.11",,2.01%
01/12/08,"15,304.90","15,580.04","15,595.13","15,165.72",,-3.04%
28/11/08,"15,785.50","15,801.65","15,978.05","15,669.03",,-0.13%
27/11/08,"15,805.31","15,718.97","15,815.34","15,542.61",,0.70%
26/11/08,"15,696.02","15,581.26","15,844.89","15,479.56",,0.64%
25/11/08,"15,595.75","15,571.48","15,970.42","15,398.91",,-0.59%
24/11/08,"15,688.60","15,522.24","15,849.46","15,522.24",,2.21%
21/11/08,"15,349.61","15,431.29","15,573.50","15,199.14",,-1.73%
19/11/08,"15,620.43","15,523.02","15,803.44","15,462.14",,1.28%
18/11/08,"15,422.45","15,250.75","15,757.55","15,216.66",,-0.39%
17/11/08,"15,483.16","14,695.97","15,588.97","14,581.12",,3.92%
14/11/08,"14,899.18","14,923.86","15,040.43","14,696.44",,-0.72%
13/11/08,"15,007.52","14,414.77","15,030.11","14,368.61",,4.05%
12/11/08,"14,423.14","14,639.92","14,799.12","14,214.53",,-1.76%
11/11/08,"14,681.39","14,272.44","14,757.70","14,241.30",,2.00%
10/11/08,"14,393.27","14,843.88","15,107.19","14,217.18",,-0.77%
07/11/08,"14,504.59","14,274.17","14,633.91","14,093.76",,1.54%
06/11/08,"14,284.13","14,194.06","14,412.53","13,893.85",,0.24%
05/11/08,"14,249.78","14,741.99","14,822.71","14,154.99",,-3.33%
04/11/08,"14,741.30","14,606.93","15,016.68","14,588.02",,2.14%
03/11/08,"14,431.89","14,362.77","14,521.28","14,119.86",,0.39%
31/10/08,"14,375.72","14,131.75","14,555.16","14,007.96",,1.20%
30/10/08,"14,205.22","14,245.37","14,443.29","14,092.10",,0.90%
29/10/08,"14,078.76","14,008.78","14,208.21","13,706.94",,1.21%
28/10/08,"13,910.87","12,979.78","13,910.87","12,688.67",,9.67%
27/10/08,"12,683.83","12,866.05","13,004.32","12,620.71",,-1.86%
24/10/08,"12,924.14","13,297.60","13,297.60","12,690.20",,-4.98%
23/10/08,"13,601.09","13,731.47","13,889.68","13,291.51",,-1.58%
22/10/08,"13,819.65","14,390.28","14,404.68","13,751.95",,-6.96%
21/10/08,"14,853.73","14,739.09","14,979.40","14,576.31",,-0.37%
20/10/08,"14,908.70","14,456.89","14,973.16","14,386.35",,4.09%
17/10/08,"14,322.56","14,365.80","14,769.23","14,225.98",,-1.12%
16/10/08,"14,485.37","14,369.76","14,556.09","13,900.76",,2.02%
15/10/08,"14,198.04","14,808.81","14,825.33","14,067.47",,-6.45%
14/10/08,"15,176.78","15,094.36","15,360.49","14,747.89",,3.38%
13/10/08,"14,680.05","13,633.13","14,683.15","13,633.13",,12.30%
10/10/08,"13,072.37","12,993.14","13,119.94","12,477.34",,-3.45%
09/10/08,"13,539.62","14,040.31","14,298.37","13,408.43",,-1.81%
08/10/08,"13,789.12","14,586.34","14,586.34","13,694.21",,-6.57%
07/10/08,"14,758.74","15,410.60","15,531.22","14,588.21",,-3.83%
06/10/08,"15,346.43","15,691.35","15,691.35","14,635.62",,-4.15%
03/10/08,"16,010.06","16,384.49","16,659.36","15,967.78",,-1.24%
02/10/08,"16,210.94","16,679.40","16,679.40","15,893.43",,-3.00%
01/10/08,"16,711.82","16,404.38","16,753.77","16,171.62",,1.95%
30/09/08,"16,392.70","15,534.50","16,392.70","15,534.10",,5.92%
29/09/08,"15,476.59","16,452.50","16,452.50","15,140.35",,-6.71%
26/09/08,"16,590.08","16,221.70","16,620.71","16,105.33",,0.66%
25/09/08,"16,481.10","16,138.03","16,527.89","16,081.57",,3.14%
24/09/08,"15,979.44","16,195.30","16,270.87","15,870.38",,-0.53%
23/09/08,"16,065.16","16,117.45","16,322.09","15,936.63",,-0.57%
22/09/08,"16,156.65","16,357.53","16,589.56","16,047.03",,-1.29%
