"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 04, 2008","851.09","851.09","851.09","851.09","","0.14%"
"Apr 03, 2008","849.92","849.92","849.92","849.92","","2.24%"
"Apr 02, 2008","831.33","831.33","831.33","831.33","","1.38%"
"Apr 01, 2008","819.98","819.98","819.98","819.98","","2.26%"
"Mar 31, 2008","801.86","801.86","801.86","801.86","","-1.59%"
"Mar 28, 2008","814.83","814.83","814.83","814.83","","-3.08%"
"Mar 27, 2008","840.75","840.75","840.75","840.75","","-0.26%"
"Mar 26, 2008","842.90","842.90","842.90","842.90","","-1.23%"
"Mar 25, 2008","853.37","853.37","853.37","853.37","","1.15%"
"Mar 24, 2008","843.67","843.67","843.67","843.67","","1.58%"
"Mar 20, 2008","830.54","830.54","830.54","830.54","","0.09%"
"Mar 19, 2008","829.82","829.82","829.82","829.82","","-3.70%"
"Mar 18, 2008","861.71","861.71","861.71","861.71","","3.83%"
"Mar 17, 2008","829.94","829.94","829.94","829.94","","-3.39%"
"Mar 14, 2008","859.05","859.05","859.05","859.05","","-2.17%"
"Mar 13, 2008","878.14","878.14","878.14","878.14","","-1.56%"
"Mar 12, 2008","892.04","892.04","892.04","892.04","","-0.83%"
"Mar 11, 2008","899.48","899.48","899.48","899.48","","2.97%"
"Mar 10, 2008","873.56","873.56","873.56","873.56","","-4.87%"
"Mar 07, 2008","918.27","918.27","918.27","918.27","","-1.55%"
"Mar 06, 2008","932.68","932.68","932.68","932.68","","-2.96%"
"Mar 05, 2008","961.09","961.09","961.09","961.09","","-0.07%"
"Mar 04, 2008","961.76","961.76","961.76","961.76","","-1.34%"
"Mar 03, 2008","974.81","974.81","974.81","974.81","","3.00%"
"Feb 29, 2008","946.39","946.39","946.39","946.39","","-1.13%"
"Feb 28, 2008","957.19","957.19","957.19","957.19","","0.33%"
"Feb 27, 2008","954.06","954.06","954.06","954.06","","1.67%"
"Feb 26, 2008","938.41","938.41","938.41","938.41","","1.54%"
"Feb 25, 2008","924.18","924.18","924.18","924.18","","0.75%"
"Feb 22, 2008","917.28","917.28","917.28","917.28","","0.81%"
"Feb 21, 2008","909.88","909.88","909.88","909.88","","-1.80%"
"Feb 20, 2008","926.59","926.59","926.59","926.59","","0.19%"
"Feb 19, 2008","924.87","924.87","924.87","924.87","","0.42%"
"Feb 18, 2008","920.97","920.97","920.97","920.97","","2.93%"
"Feb 15, 2008","894.72","894.72","894.72","894.72","","-1.55%"
"Feb 14, 2008","908.82","908.82","908.82","908.82","","0.23%"
"Feb 13, 2008","906.75","906.75","906.75","906.75","","4.78%"
