Date,Price,Open,High,Low,Vol.,Change %
5/19/21,"11,835.54","11,776.44","11,837.91","11,599.27",,0.50%
5/18/21,"11,776.55","11,770.95","11,851.46","11,715.49",,0.05%
5/17/21,"11,770.95","11,762.37","11,782.36","11,643.30",,0.07%
5/14/21,"11,762.37","11,598.91","11,809.73","11,598.91",,1.41%
5/13/21,"11,598.74","11,392.06","11,665.36","11,389.39",,1.81%
5/12/21,"11,392.06","11,649.32","11,649.68","11,341.11",,-2.21%
5/11/21,"11,649.35","11,654.95","11,669.80","11,481.14",,-0.05%
5/10/21,"11,654.94","11,593.63","11,681.11","11,517.60",,0.53%
5/7/21,"11,593.35","11,388.36","11,596.02","11,388.36",,1.80%
5/6/21,"11,388.42","11,466.04","11,476.95","11,316.04",,-0.59%
5/5/21,"11,456.54","11,265.57","11,473.65","11,213.33",,1.74%
5/4/21,"11,260.53","11,608.89","11,677.55","11,251.13",,-3.00%
5/3/21,"11,609.33","11,461.88","11,697.17","11,461.68",,1.29%
4/30/21,"11,461.30","11,491.41","11,548.09","11,402.16",,-0.25%
4/29/21,"11,490.54","11,708.82","11,771.82","11,473.61",,-1.86%
4/28/21,"11,708.67","11,370.90","11,737.81","11,370.70",,2.98%
4/27/21,"11,369.52","11,404.23","11,474.28","11,346.57",,-0.29%
4/26/21,"11,403.08","11,419.06","11,547.15","11,316.37",,-0.13%
4/23/21,"11,418.47","11,251.09","11,493.96","11,251.09",,1.49%
4/22/21,"11,251.21","11,296.10","11,399.34","11,229.02",,-0.40%
4/20/21,"11,296.10","11,361.21","11,414.73","11,268.42",,-0.57%
4/19/21,"11,361.20","11,487.52","11,508.38","11,338.98",,-1.09%
4/16/21,"11,486.71","11,347.84","11,531.32","11,335.22",,1.22%
4/15/21,"11,347.84","11,386.21","11,479.73","11,250.24",,-0.34%
4/14/21,"11,386.21","11,321.86","11,521.79","11,276.16",,0.58%
4/13/21,"11,320.97","11,387.59","11,387.59","11,221.27",,-0.59%
4/12/21,"11,387.66","11,168.29","11,392.15","11,168.29",,1.97%
4/9/21,"11,168.05","11,209.85","11,300.61","11,134.66",,-0.37%
4/8/21,"11,209.85","11,219.57","11,295.55","11,166.98",,-0.08%
4/7/21,"11,218.99","11,239.38","11,330.66","11,161.29",,-0.18%
4/6/21,"11,239.49","11,242.73","11,333.59","11,193.71",,-0.03%
4/5/21,"11,242.33","11,121.11","11,289.24","11,120.01",,1.12%
4/1/21,"11,118.21","11,371.77","11,425.58","11,101.62",,-2.23%
3/31/21,"11,371.36","11,452.50","11,474.84","11,254.47",,-0.71%
3/30/21,"11,452.48","11,262.84","11,455.42","11,221.93",,1.68%
3/29/21,"11,263.02","11,288.93","11,314.53","11,142.90",,-0.23%
